abandoned,បោះបង់ចោល
advertiser,អ្នកផ្សាយពាណិជ្ជកម្ម
advertisers,អ្នកផ្សាយពាណិជ្ជកម្ម
advertising,ការផ្សាយពាណិជ្ជកម្ម
advice,ដំបូន្មាន
advise,ផ្តល់ដំបូន្មាន
advised,បានផ្ដល់អនុសាសន៍
advisor,ទីប្រឹក្សា
advisors,ទីប្រឹក្សា
advisory,ប្រឹក្សា
advocacy,ការតស៊ូមតិ
advocate,បំពេញជា
adware,កម្មវិធីផ្សាយពាណិជ្ជកម្ម
ae,អេ
aerial,លើអាកាស
aerospace,អវកាស
affair,សំណុំរឿង
affairs,កិច្ចការ
affect,ប៉ះពាល់
affected,រងផលប៉ះពាល់
affecting,ប៉ះពាល់
affects,ប៉ះពាល់
affiliate,សម្ព័ន្ធ
affiliated,បានភ្ជាប់
affiliates,សាខា
affiliation,ទំនាក់ទំនង
afford,អាច
affordable,មានតម្លៃសមរម្យ
afghanistan,អាហ្វហ្គានីស្ថាន
afraid,ខ្លាច
africa,អាហ្វ្រិក
african,អាហ្វ្រិក
after,ក្រោយ
afternoon,រសៀល
again,ម្តងទៀត
against,ប្រឆាំងនឹង
age,អាយុ
aged,ចាស់
agencies,ទីភ្នាក់ងារ
agency,ទីភ្នាក់ងារ
agenda,របៀបវារៈ
agent,ភ្នាក់ងារ
agents,ភ្នាក់ងារ
ages,អាយុ
aggregate,សរុប
aggressive,បំពាន
aging,ភាពចាស់
ago,កន្លងទៅ
agree,យល់ព្រម
agreed,យល់ព្រម
agreement,កិច្ចព្រមព្រៀង
agreements,កិច្ចព្រមព្រៀង
agrees,យល់ព្រម៖
agricultural,កសិកម្ម
agriculture,កសិកម្ម
ahead,ខាងមុខ
ai,អេអាយ
aid,ជំនួយ
aids,ជំនួយ
aim,គោលបំណង
aimed,មានគោលដៅ
aims,គោលបំណង
air,ខ្យល់
aircraft,យន្តហោះ
airfare,អាកាសយានដ្ឋាន
airline,ក្រុមហ៊ុនអាកាសចរណ៍
airlines,ក្រុមហ៊ុនអាកាសចរណ៍
airplane,យន្តហោះ
airport,អាកាសយានដ្ឋាន
airports,អាកាសយានដ្ឋាន
alabama,អាឡាបាម៉ា
alan,អាឡាន
alarm,សំឡេងរោទិ៍
alaska,អាឡាស្កា
albania,អាល់បានី
albert,អាល់បឺត
alberta,អាល់ប៊ើតា
album,អាល់ប៊ុម
albums,អាល់ប៊ុម
alcohol,ជាតិអាល់កុល
alert,ដាស់តឿន
alerts,ការជូនដំណឹង
alex,អាឡិច
alexander,អាឡិចសាន់ឌឺ
algebra,ពិជគណិត
algeria,អាល់ហ្សេរី
algorithm,អាល់កូរីសឹម
algorithm,អាល់ហ្កូរីហ្សឹម
algorithm,ក្បួនដោះស្រាយបញ្ហា
algorithms,ក្បួនដោះស្រាយបញ្ហា
alias,ឈ្មោះក្លែងក្លាយ
alice,អាលីស
alien,ជនបរទេស
align,តម្រឹម
alignment,តម្រឹម
alike,ដូចគ្នា
alive,នៅរស់
all,ទាំងអស់
allah,អល់ឡោះ
alleged,ចោទថា
allen,អាឡែន
allergy,អាឡែរហ្សី
alliance,សម្ព័ន្ធភាព
allied,សម្ព័ន្ធមិត្ត
allocated,បែងចែក
allocation,ការបែងចែក
allow,អនុញ្ញាត
allowance,ប្រាក់ឧបត្ថម្ភ
allowed,អនុញ្ញាត
allowing,អនុញ្ញាត
allows,អនុញ្ញាត
alloy,លោហៈធាតុផ្សំ
almost,ស្ទើរតែ
alone,តែម្នាក់ឯង
along,តាម
alot,ច្រើន
alpha,អាល់ហ្វា
alphabetical,អក្ខរក្រម
alpine,អាល់ពីន
already,រួចហើយ
also,ក៏
alt,ជំនួស
alter,ផ្លាស់ប្តូរ
altered,បានកែប្រែ
alternate,ឆ្លាស់គ្នា
alternative,ជំនួស
alternatively,ជាជម្រើស
alternatives,ជម្មើសជំនួស
although,ទោះបីជា
aluminium,អាលុយមីញ៉ូម
aluminum,អាលុយមីញ៉ូម
alumni,អតីតនិស្សិត
always,ជានិច្ច
amateur,មិនមែនអាជីព
amazing,អស្ចារ្យ
amazon,អាម៉ាហ្សូន
ambassador,ឯកអគ្គរដ្ឋទូត
amber,អំពិល
ambien,បរិយាកាស
ambient,ព័ទ្ធជុំវិញ
amd,AMD
amend,កែប្រែ
amended,កែប្រែ
amendment,វិសោធនកម្ម
amendments,វិសោធនកម្ម
amenities,គ្រឿងបរិក្ខារ
america,អាមេរិក
american,អាមេរិកាំង
americans,អាមេរិកាំង
americas,អាមេរិក
amino,អាស៊ីតអាមីណូ
among,ក្នុងចំណោម
amongst,រវាង
amount,ចំនួនទឹកប្រាក់
amounts,បរិមាណ
amplifier,ឧបករណ៍ពង្រីក
amsterdam,អាំស្ទែដាំ
analog,អាណាឡូក
analysis,ការវិភាគ
analyst,អ្នកវិភាគ
analysts,ក្រុមអ្នកវិភាគ
analytical,វិភាគ
analyze,វិភាគ
analyzed,បានវិភាគ
anatomy,កាយវិភាគសាស្ត្រ
anchor,យុថ្កា
ancient,បុរាណ
and,ហើយ
anderson,អាន់ឌឺសិន
andorra,ប្រទេសអង់ដូរ៉ា
angel,ទេពធីតា
anger,កំហឹង
angle,មុំ
angry,ខឹង
animal,សត្វ
animals,សត្វ
animated,មានចលនា
animation,ចលនា
anime,គំនូរជីវចល
annex,ឧបសម្ព័ន្ធ
anniversary,ខួប
annotated,កំណត់ចំណាំ
annotation,ចំណារពន្យល់
announce,ប្រកាស
announced,បានប្រកាស
announcement,សេចក្តីប្រកាស
announcements,សេចក្តីប្រកាស
announces,ប្រកាស
annoying,គួរឱ្យធុញទ្រាន់
annual,ប្រចាំឆ្នាំ
annually,ដោយដៃ
anonymous,អនាមិក
another,មួយទៀត
answer,ចម្លើយ
answered,បានឆ្លើយ
answering,កំពុងឆ្លើយ
answers,ចម្លើយ
ant,ស្រមោច
antarctica,អង់តាក់ទិក
antenna,អង់តែន
anthony,អង់តូនី
anthropology,នរវិទ្យា
anti,ប្រឆាំង
antibodies,អង្គបដិប្រាណ
antibody,អង្គបដិបក្ខ
anticipated,ដែលអាចកើតមាន
antique,វត្ថុបុរាណ
antiques,វត្ថុបុរាណ
antivirus,កម្មវិធីកម្ចាត់មេរោគ
antonio,អង់តូនីញ៉ូ
anxiety,ការថប់បារម្ភ
any,ណាមួយ
anybody,នរណាម្នាក់
anymore,ទៀត
anyone,នរណាម្នាក់
anything,អ្វីទាំងអស់
anytime,គ្រប់ពេលវេលា
anyway,ទោះយ៉ាងណាក៏ដោយ
anywhere,គ្រប់ទីកន្លែង
apache,Apache(អាប៉ាឈី)
apart,ដាច់ពីគ្នា
apartment,ផ្ទះល្វែង
api,អេភីអាយ
apollo,ប្រតិបត្ដិការAPOLLO
app,កម្មវិធី
apparatus,គ្រឿងបរិក្ខារ
apparel,សំលៀកបំពាក់
apparent,ជាក់ស្តែង
apparently,ជាក់ស្តែង
appeal,បណ្តឹងឧទ្ធរណ៍
appeals,បណ្តឹងឧទ្ធរណ៍
appear,លេចឡើង
appearance,រូបរាង
appeared,បានបង្ហាញខ្លួន
appearing,លេចឡើង
appears,លេចឡើង
appendix,ឧបសម្ព័ន្ធ
apple,ផ្លែប៉ោម
appliance,គ្រឿងបរិក្ខារ
appliances,គ្រឿងប្រើប្រាស់
applicable,អាចអនុវត្តបាន
applicant,អ្នកដាក់ពាក្យ
applicants,អ្នកដាក់ពាក្យ
application,កម្មវិធី
applications,កម្មវិធី
applied,បានអនុវត្ត
applies,អនុវត្ត
apply,អនុវត្ត
applying,ការដាក់ពាក្យ
appointed,ត្រូវបានតែងតាំង
appointment,ការណាត់ជួប
appointments,ការណាត់ជួប
appraisal,ការវាយតម្លៃ
appreciate,កោតសរសើរ
appreciated,ដែលគួរឱ្យកោតសរសើរ
appreciation,ការដឹងគុណ
approach,វិធីសាស្រ្ត
approaches,វិធីសាស្រ្ត
appropriate,សមរម្យ
appropriations,មូលប្បទានប័ត្រ
approval,ការយល់ព្រម
approve,អនុមត្តិ
approved,អនុម័ត
approx,ប្រហាក់ប្រហែល
approximate,សមរម្យ
approximately,ប្រហែល
apps,កម្មវិធី
april,មេសា
aqua,ទឹក
aquarium,អាងចិញ្ចឹមត្រី
aquatic,ទឹក
arab,អារ៉ាប់
arabia,ទ្វីបអាហ្វ្រិក
arabic,អារ៉ាប់
arbitrary,មជ្ឈត្តកម្ម
arbitration,អាជ្ញាកណ្តាល
arbor,សួនឧទ្យាន
arc,ធ្នូ
arcade,អាខេត
arch,ធ្នូ
architect,ស្ថាបត្យករ
architects,ស្ថាបត្យករ
architectural,ស្ថាបត្យកម្ម
architecture,ស្ថាបត្យកម្ម
archive,បណ្ណសារ
archived,បណ្ណសារ
archives,បណ្ណសារ
arctic,អាកទិក
are,ជា
area,តំបន់
areas,តំបន់
arena,សង្វៀន
argentina,អាហ្សង់ទីន
argue,ប្រកែក
argued,អាគុយម៉ង់
argument,អាគុយម៉ង់
arguments,អាគុយម៉ង់
arise,កើតឡើង
arising,កំពុងកើតមានឡើង
arizona,អារីហ្សូណា
arkansas,រដ្ឋArkansas
arm,ដៃ
armed,ប្រដាប់អាវុធ
armenia,អាមេនី
armor,គ្រឿងសឹក
arms,អាវុធ
army,កងទ័ព
around,ជុំវិញ
arrange,រៀបចំ
arranged,រៀបចំ
arrangement,ការរៀបចំ
arrangements,ការរៀបចំ
array,អារេ
arrest,ការចាប់ខ្លួន
arrested,ត្រូវចាប់ខ្លួន
arrival,ការមកដល់
arrivals,ការមកដល់
arrive,មកដល់
arrived,បានមកដល់
arrives,មកដល់
arrow,ព្រួញ
art,សិល្បៈ
arthritis,ជំងឺរលាកសន្លាក់
article,អត្ថបទ
articles,អត្ថបទ
artificial,សិប្បនិម្មិត
artist,សិល្បករ
artistic,វិចិត្រ
artists,សិល្បករ
arts,សិល្បៈ
artwork,ការងារសិល្បះ
asbestos,អាបស្តូស
ascii,ASCII
ash,ផេះ
asia,អាស៊ី
asian,អាស៊ី
aside,ឡែក
asin,អ័ក្សស៊ីនុស
ask,សួរ
asked,សួរ
asking,សួរ
asks,សួរ
aspect,ទិដ្ឋភាព
aspects,ទិដ្ឋភាព
assault,ការវាយ
assembled,បានផ្គុំឡើង
assembly,ការជួបប្រជុំគ្នា
assess,វាយតំលៃ
assessed,បានវាយតម្លៃ
assessing,ការវាយតំលៃ
assessment,ការវាយតម្លៃ
assessments,ការវាយតម្លៃ
asset,ទ្រព្យសកម្ម
assets,ទ្រព្យសកម្ម
assign,ចាត់តាំង
assigned,ចាត់តាំង
assignment,កិច្ចការ
assignments,កិច្ចការ
assist,ជួយ
assistance,ជំនួយ
assistant,ជំនួយការ
assisted,បានជួយ
assists,ជួយ
associate,សហការី
associated,ពាក់ព័ន្ធ
associates,សហការី
association,សមាគម
associations,សមាគម
assume,សន្មត់
assumed,សន្មត់
assumes,សន្មត់
assuming,សន្មត
assumption,ការសន្មត់
assumptions,ការសន្មត់៖
assurance,ការធានា
assure,ធានា
assured,បានធានា
asthma,ជម្ងឺហឺត
astrology,ហោរាសាស្រ្ត
astronomy,តារាវិទ្យា
asylum,សិទ្ធិជ្រកកោន
athletes,អត្តពលិក
athletic,អត្តពលិក
athletics,អត្តពលកម្ម
atlanta,អាត្លង់តា
atlantic,អាត្លង់ទិក
atlas,អាត្លាស
atmosphere,បរិយាកាស
atom,អាតូម
atomic,អាតូម
attach,ភ្ជាប់
attached,ភ្ជាប់
attachment,ឯកសារភ្ជាប់
attachments,ឯកសារភ្ជាប់
attack,ការវាយប្រហារ
attacked,វាយប្រហារ
attacks,ការវាយប្រហារ
attempt,ការប៉ុនប៉ង
attempted,ប៉ុនប៉ង
attempting,ការប៉ុនប៉ង
attempts,ការប៉ុនប៉ង
attend,ចូលរួម
attendance,ការចូលរួម
attended,បានចូលរួម
attending,ចូលរួម
attention,ការយកចិត្តទុកដាក់
attitude,អាកប្បកិរិយា
attitudes,ឥរិយាបថ
attorney,មេធាវី
attorneys,មេធាវី
attract,ទាក់ទាញ
attraction,ការទាក់ទាញ
attractions,ការទាក់ទាញ
attractive,ទាក់ទាញ
attribute,គុណលក្ខណៈ
attributes,គុណលក្ខណៈ
auckland,ទីក្រុងអូក្លែន
auction,ការដេញថ្លៃ
auctions,ការដេញថ្លៃ
aud,អូឌីយ៉ូ
audience,ទស្សនិកជន
audio,អូឌីយ៉ូ
audit,សវនកម្ម
auditor,សវនករ
august,សីហា
aurora,អូរ៉ូរ៉ា
austin,អូស្ទីន
australia,អូស្ត្រាលី
australian,អូស្ត្រាលី
austria,អូទ្រីស
authentic,ពិតប្រាកដ
authentication,ការផ្ទៀងផ្ទាត់ភាពត្រឹមត្រូវ
author,អ្នកនិពន្ធ
authorities,អាជ្ញាធរ
authority,អាជ្ញាធរ
authorization,ការអនុញ្ញាត
authorized,អនុញ្ញាត
authors,អ្នកនិពន្ធ
auto,ស្វ័យប្រវត្តិ
automated,ស្វ័យប្រវត្តិ
automatic,ស្វ័យប្រវត្តិ
automatically,ដោយស្វ័យប្រវត្តិ
automation,ស្វ័យប្រវត្តិកម្ម
automobile,ពន្ធរថយន្ត
automobiles,រថយន្ត
automotive,រថយន្ត
autumn,រដូវស្លឹកឈើជ្រុះ
availability,ភាពអាចរកបាន
available,ទំនេរ
avatar,រូបតំណាង
avenue,ផ្លូវ
average,មធ្យម
avg,មធ្យម
aviation,អាកាសចរណ៍
avoid,ជៀសវាង
avoiding,ជៀសវាង
award,រង្វាន់
awarded,ទទួលបានរង្វាន់
awards,រង្វាន់
aware,ដឹង
awareness,ការយល់ដឹង
away,ឆ្ងាយ
awesome,អស្ចារ្យ
awful,អាក្រក់
axis,អ័ក្ស
azerbaijan,អាស៊ែបៃហ្សង់
babe,ទារក
babes,ទារក
babies,ទារក
baby,ទារក
bachelor,បរិញ្ញាបត្រ
back,ត្រឡប់
backed,បានគាំទ្រ
background,ផ្ទៃខាងក្រោយ
backgrounds,សេចក្តីផ្តើម
backing,គាំទ្រ
backup,ការបម្រុងទុក
bacon,បេខន
bacteria,បាក់តេរី
bacterial,បាក់តេរី
bad,អាក្រក់
badge,ផ្លាកសញ្ញ
badly,មិនល្អ
bag,កាបូប
bag,ថង់
baghdad,បាកដាដ
bahamas,បាហាម៉ា
bahrain,បារ៉ែន
baker,អ្នកដុតនំ
baking,ការដុតនំ
balance,តុល្យភាព
balanced,បានតុល្យភាព
bald,ទំពែក
bali,បាលី
ball,បាល់
ballet,របាំបាឡេ
balloon,បាល់ឡុង
ballot,សន្លឹកឆ្នោត
balls,បាល់
baltimore,បាល់ទីម័រ
ban,ហាមប្រាម
banana,ចេក
band,ក្រុមតន្រ្តី
bands,ក្រុមតន្រ្តី
bandwidth,កម្រិតបញ្ជូន
bang,បន្ទុះ
bangkok,បាងកក
bangladesh,បង់ក្លាដែស
bank,ធនាគារ
banking,ធនាគារ
bankruptcy,ក្ស័យធន
banks,ធនាគារ
banned,ហាមឃាត់
banner,បដា
banners,បដាផ្សព្វផ្សាយអ្នក
baptist,អ្នកជ្រមុជទឹក
bar,របារ
barbados,បាបាដុស
barbara,បាបារ៉ា
barcelona,ទីក្រុងបាស៊ីឡូណា
bare,ទទេ
barely,ស្ទើរតែ
bargain,ការចរចា
bargains,ការចរចារ
barn,កូន
barnes,ជង្រុក
barrel,ធុង
barrier,របាំង
barriers,ឧបសគ្គ៖
barry,បារី
bars,បារ
base,មូលដ្ឋាន
baseball,កីឡាបេស្បល
based,ផ្អែកលើ
baseline,បន្ទាត់មូលដ្ឋាន
basement,ជាន់ក្រោមដី
basename,ឈ្មោះមូលដ្ឋាន
bases,មូលដ្ឋាន
basic,មូលដ្ឋាន
basically,ជាមូលដ្ឋាន
basics,មូលដ្ឋាន
basin,ចានលាងដៃ
basis,មូលដ្ឋាន
basket,កន្ត្រក
basketball,បាល់បោះ
baskets,កន្ត្រក
bass,បាស
bat,សត្វប្រជៀវ
batch,បាច់
bath,ងូតទឹក
bathroom,បន្ទប់ទឹក
bathrooms,បន្ទប់ទឹក
baths,ចំនួនបន្ទប់ទឹក
batman,ប៊ែតមែន
batteries,ថ្ម
battery,ថ្ម
battle,ការប្រយុទ្ធ
battlefield,សមរភូមិ
bay,ឆ្នេរសមុទ្រ
bbc,ប៊ីប៊ីស៊ី
bc,មុនគ.ស
beach,ឆ្នេរ
beaches,ឆ្នេរសមុទ្រ
beads,អង្កាំ
beam,ធ្នឹម
bean,សណ្តែក
beans,សណ្តែក
bear,ខ្លាឃ្មុំ
bearing,គ្រាប់បាល់
bears,ខ្លាឃ្មុំ
beast,សត្វ
beastality,ភាពសាហាវ
beastiality,សត្វតិរច្ឆាន
beat,វាយ
beatles,ប៊ីថល
beats,ចង្វាក់
beautiful,ស្រស់ស្អាត
beautifully,ស្រស់ស្អាត
beauty,សម្រស់
beaver,សត្វកាស្ទ័រ
became,បានក្លាយជា
because,ពីព្រោះ
become,ក្លាយជា
becomes,ក្លាយជា
becoming,ក្លាយជា
bed,គ្រែ
bedding,ពូក
bedroom,បន្ទប់គេង
bedrooms,បន្ទប់គេង
beds,គ្រែ
bee,ឃ្មុំ
beef,សាច់គោ
beer,ស្រាបៀរ
before,មុន
began,បានចាប់ផ្តើម
begin,ចាប់ផ្តើម
beginner,ដំបូង
beginners,អ្នកចាប់ផ្តើមដំបូង
beginning,ការចាប់ផ្តើម
begins,ចាប់ផ្តើម
begun,បានចាប់ផ្តើម
behalf,ក្នុងនាម
behavior,អាកប្បកិរិយា
behavioral,មានអាកប្បកិរិយា
behaviour,អាកប្បកិរិយា
behind,នៅខាងក្រោយ
beijing,ប៉េកាំង
being,កំពុងជា
beings,កំពុងជា
belarus,បេឡារុស
belgium,បែលហ្សិក
belief,ជំនឿ
beliefs,ជំនឿ
believe,ជឿ
believed,ជឿ
believes,ជឿ
belize,បេលីហ្ស
belkin,ប៊ែលគីន
bell,កណ្ដឹង
belle,ប៊ែល
belly,ពោះ
belong,ជាកម្មសិទ្ធិ
belongs,ជាកម្មសិទ្ធិ
below,ខាងក្រោម
belt,ខ្សែក្រវាត់
belts,ខ្សែក្រវ៉ាត់
bench,កៅអី
benchmark,ស្ដង់ដា
bend,ក្រុម
beneath,ខាងក្រោម
beneficial,អត្ថប្រយោជន៍
benefit,អត្ថប្រយោជន៍
benefits,អត្ថប្រយោជន៍
benjamin,បេនយ៉ាមីន
benz,Mercedes-Benz
berlin,ទីក្រុងប៊ែកឡាំង
bermuda,ប៊េរមូដា
berry,បឺរី
beside,នៅក្បែរ
besides,ក្រៅពី
best,ល្អបំផុត
bestiality,ភាពសាហាវឃោរឃៅ
bestsellers,លក់ដាច់បំផុត
bet,ភ្នាល់
beta,បេតា
better,ល្អជាង
betting,ការភ្នាល់
between,រវាង
beverage,ភេសជ្ជៈ
beverages,ភេសជ្ជៈ
beverly,ប៊ែវើរី
beyond,លើសពី
bhutan,ប៊ូតាន
bias,លម្អៀង
bible,ព្រះគម្ពីរ
biblical,ព្រះគម្ពីរ
bibliographic,គន្ថនិទ្ទេស
bibliography,គន្ថនិទ្ទេស
bicycle,ជិះកង់
bid,ដេញថ្លៃ
bidder,អ្នកដេញថ្លៃ
bidding,ការដេញថ្លៃ
bids,ការដេញថ្លៃ
big,ធំ
bigger,ធំជាង
biggest,ធំជាងគេ
bike,កង់
bikes,កង់
bikini,ប៊ីគីនី
bill,វិក័យប័ត្រ
billing,វិក័យប័ត្រ
billion,ពាន់លាន
bills,វិក័យប័ត្រ
billy,ប៊ីលី
bin,ធុង
binary,គោលពីរ
bind,ចង
binding,ការចង
bingo,ល្បែងប៊ីងហ្គោ
bio,ជីវ
biodiversity,ជីវចម្រុះ
biographies,ជីវប្រវត្តិ
biography,ជីវប្រវត្តិ
biological,ជីវសាស្រ្ត
biology,ជីវវិទ្យា
bios,BIOS
biotechnology,ជីវបច្ចេកវិទ្យា
bird,បក្សី
birds,បក្សី
birmingham,ប៊ឺមីងហាំ
birth,កំណើត
birthday,ថ្ងៃកំណើត
bishop,ប៊ីស្សព
bit,ប៊ីត
bitch,មនុស្សចង្រៃ
bite,ចឹក
bits,ប៊ីត
biz,ប៊ីស
bizarre,ចម្លែក
black,ខ្មៅ
blackberry,ប៊ឺរីខ្មៅ
blackjack,ខ្មៅដៃ
blacks,ខ្មៅ
blade,ដាវ
blades,ផ្លែកាត់
blame,បន្ទោស
blank,ទទេ
blanket,ភួយ
blast,ការផ្ទុះ
bleeding,ហូរឈាម
blend,ល្បាយ
bless,ប្រទានពរ
blessed,បានប្រទានពរ
blind,ពិការភ្នែក
blink,លោតភ្លឹបភ្លែត
block,ប្លុក
blocking,ការទប់ស្កាត់
blocks,ប្លុក
blog,ប្លុក
blogger,អ្នកសរសេរប្លុក
bloggers,អ្នកសរសេរប្លុក
blogging,ការសរសេរប្លុក
blogs,ប្លុក
blond,ពណ៌ទង់ដែង
blonde,ប៍នតង់ដេង
blood,ឈាម
bloody,ឈាម
bloom,ផ្កា
bloomberg,ផ្ការីក
blow,ផ្លុំ
blowing,កំពុងបក់
blowjob,ផ្លុំ
blowjobs,ផ្លុំ
blue,ខៀវ
blues,ខៀវ
bluetooth,ប៊្លូធូស
blvd,មហាវិថីសម្រាប់ជិះកង់
bmw,BMW
board,វេទិកា
boards,វេទិកា
boat,ទូក
boating,ជិះទូក
boats,ទូក
bobby,បូប៊ី
bodies,រាងកាយ
body,រាងកាយ
bold,ដិត
bolivia,បូលីវី
bolt,ប៊ូឡុង
bomb,គ្រាប់បែក
bond,ចំណង
bondage,ការជាប់ឃុំឃាំង
bonds,មូលបត្របំណុល
bone,ឆ្អឹង
bones,ឆ្អឹង
bonus,ប្រាក់រង្វាន់
boob,សុដន់
book,សៀវភៅ
booking,ការកក់
bookings,កក់
bookmark,ចំណាំ
bookmarks,ចំណាំ
books,សៀវភៅ
bookstore,បណ្ណាគារ
bool,ប៊ូល
boolean,ប៊ូល
boom,ដងសន្ទូច
boost,ជំរុញ
boot,ចាប់ផ្ដើម
booth,ស្តង់
boots,ស្បែកជើងកវែង
booty,ចោរកម្ម
border,ព្រំដែន
borders,ស៊ុម
bored,ធុញទ្រាន់
boring,គួរឱ្យធុញទ្រាន់
born,កើត
borough,សង្កាត់
bosnia,បូស្ន៊ី
boss,ថៅកែ
boston,បូស្តុន
both,ទាំងពីរ
bother,រំខាន
botswana,បុតស្វាណា
bottle,ដប
bottles,ដប
bottom,បាត
bought,បានទិញ
boulevard,មហាវិថី
bound,ចង
boundaries,ដែនកំណត់
boundary,ព្រំដែន
bouquet,បាច់ផ្កា
boutique,ហាងលក់ទំនិញ
bow,ធ្នូ
bowl,ចាន
bowling,កីឡាបោះប៊ូលីង
box,ប្រអប់
boxed,ប្រអប់
boxes,ប្រអប់
boxing,ប្រដាល់
boy,ក្មេងប្រុស
boys,ក្មេងប្រុស
bra,អាវទ្រនាប់
bracelet,ខ្សែដៃ
bracelets,ខ្សែដៃ
bracket,តង្កៀប
